จังหวัด,ผลผลิต(ตัน),สัดส่วน,เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)
เพชรบูรณ์,"590,783",13%,"830,019",711.77
น่าน,"451,802",10%,"731,978",617.23
นครราชสีมา,"443,286",10%,"680,806",651.12
เลย,"358,678",8%,"533,809",671.92
ตาก,"355,963",8%,"526,921",675.55
เชียงราย,"283,593",6%,"405,843",698.78
พะเยา,"176,461",4%,"252,588",698.61
แพร่,"175,472",4%,"278,376",630.34
ลพบุรี,"168,174",4%,"237,453",708.24
นครสวรรค์,"164,420",4%,"227,777",721.85
พิษณุโลก,"161,495",4%,"237,316",680.51
สระบุรี,"144,325",3%,"183,926",784.69
ลำปาง,"122,958",3%,"183,287",670.85
เชียงใหม่,"121,665",3%,"176,677",688.63
อุตรดิตถ์,"113,528",3%,"183,273",619.45
อุทัยธานี,"102,001",2%,"117,803",865.86
สระแก้ว,"64,555",1%,"81,764",789.53
ลำพูน,"55,789",1%,"81,151",687.47
ชัยภูมิ,"49,677",1%,"73,326",677.48
กาญจนบุรี,"49,274",1%,"73,222",672.94
กำแพงเพชร,"43,759",1%,"60,116",727.91
สุโขทัย,"37,836",1%,"61,330",616.92
แม่ฮ่องสอน,"37,515",1%,"59,329",632.32
สุพรรณบุรี,"31,540",1%,"44,305",711.88
พิจิตร,"21,293",0%,"31,286",680.59
ปราจีนบุรี,"13,663",0%,"17,528",779.50
อุบลราชธานี,"9,702",0%,"12,302",788.65
ชัยนาท,"9,235",0%,"13,429",687.69
หนองบัวลำภู,"8,818",0%,"13,702",643.56
จันทบุรี,"7,818",0%,"11,897",657.14
ศรีสะเกษ,"4,974",0%,"6,324",786.53
ขอนแก่น,"4,041",0%,"6,180",653.88
เพชรบุรี,"2,294",0%,"3,931",583.57
ราชบุรี,"1,377",0%,"2,196",627.05
ฉะเชิงเทรา,"1,276",0%,"1,891",674.78
อุดรธานี,757,0%,"1,205",628.22
ประจวบคีรีขันธ์,289,0%,458,631.00
กาฬสินธุ์,99,0%,162,611.11
