สำนักงานเศรษฐกิจการเกษตร | สินค้าเกษตรข้าวโพดเลี้ยงสัตว์,,,,
ผลผลิตข้าวโพดเลี้ยงสัตว์แยกตามจังหวัด ปี 2560,,,,
จังหวัด,ผลผลิต(ตัน),สัดส่วน,เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)
เพชรบูรณ์,"638,205",13%,"831,495",767.54
นครราชสีมา,"527,131",11%,"696,318",757.03
น่าน,"445,374",9%,"662,502",672.26
ตาก,"403,728",8%,"548,228",736.42
เลย,"320,465",7%,"465,134",688.97
เชียงราย,"289,421",6%,"393,304",735.87
นครสวรรค์,"211,936",4%,"275,849",768.30
แพร่,"193,569",4%,"276,717",699.52
พะเยา,"192,476",4%,"257,974",746.11
พิษณุโลก,"188,184",4%,"254,505",739.41
ลพบุรี,"187,938",4%,"249,697",752.66
สระบุรี,"145,339",3%,"183,010",794.16
ลำปาง,"135,559",3%,"188,155",720.46
อุตรดิตถ์,"130,607",3%,"188,783",691.84
เชียงใหม่,"128,447",3%,"174,387",736.56
อุทัยธานี,"105,990",2%,"120,324",880.87
สระแก้ว,"82,299",2%,"105,049",783.43
ชัยภูมิ,"75,190",2%,"104,760",717.74
กำแพงเพชร,"63,011",1%,"83,137",757.92
กาญจนบุรี,"60,547",1%,"83,675",723.60
ลำพูน,"58,668",1%,"80,032",733.06
สุโขทัย,"44,248",1%,"64,241",688.78
แม่ฮ่องสอน,"43,300",1%,"61,561",703.37
สุพรรณบุรี,"35,095",1%,"46,597",753.16
พิจิตร,"28,039",1%,"39,504",709.78
อุบลราชธานี,"18,132",0%,"22,961",789.69
ปราจีนบุรี,"15,312",0%,"19,834",772.01
ศรีสะเกษ,"13,511",0%,"17,084",790.86
หนองบัวลำภู,"9,350",0%,"13,949",670.30
จันทบุรี,"8,178",0%,"11,599",705.06
ขอนแก่น,"6,993",0%,"10,498",666.13
ชัยนาท,"6,741",0%,"9,654",698.26
เพชรบุรี,"2,761",0%,"4,324",638.53
กาฬสินธุ์,"1,545",0%,"2,494",619.49
ฉะเชิงเทรา,"1,194",0%,"1,657",720.58
ราชบุรี,"1,065",0%,"1,726",617.03
อุดรธานี,796,0%,"1,167",682.09
ประจวบคีรีขันธ์,545,0%,879,620.02
หนองคาย,73,0%,138,528.99
