ปี,จังหวัด,ผลผลิต(ตัน),สัดส่วน,เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)
2561,เพชรบูรณ์,"640,803",13%,"858,800",746.16
2561,นครราชสีมา,"515,947",10%,"714,028",722.59
2561,น่าน,"457,622",9%,"671,970",681.02
2561,ตาก,"405,318",8%,"557,263",727.34
2561,เลย,"332,438",7%,"489,005",679.83
2561,เชียงราย,"299,479",6%,"398,140",752.20
2561,นครสวรรค์,"229,988",5%,"305,744",752.22
2561,พิษณุโลก,"209,334",4%,"284,027",737.02
2561,พะเยา,"202,636",4%,"274,773",737.47
2561,แพร่,"201,384",4%,"283,378",710.66
2561,ลพบุรี,"193,985",4%,"262,459",739.11
2561,สระบุรี,"145,970",3%,"190,263",767.20
2561,ลำปาง,"145,890",3%,"196,293",743.23
2561,อุตรดิตถ์,"138,247",3%,"198,215",697.46
2561,เชียงใหม่,"134,310",3%,"180,439",744.35
2561,อุทัยธานี,"115,011",2%,"133,750",859.90
2561,สระแก้ว,"84,976",2%,"112,483",755.46
2561,ชัยภูมิ,"79,968",2%,"111,995",714.03
2561,กำแพงเพชร,"69,597",1%,"93,259",746.28
2561,ลำพูน,"59,320",1%,"81,992",723.49
2561,กาญจนบุรี,"58,179",1%,"80,017",727.08
2561,สุโขทัย,"46,785",1%,"68,109",686.91
2561,แม่ฮ่องสอน,"45,574",1%,"62,487",729.34
2561,สุพรรณบุรี,"31,640",1%,"43,847",721.60
2561,พิจิตร,"31,248",1%,"43,629",716.22
2561,อุบลราชธานี,"30,993",1%,"40,548",764.35
2561,ศรีสะเกษ,"21,981",0%,"29,019",757.47
2561,ปราจีนบุรี,"14,111",0%,"18,728",753.47
2561,หนองบัวลำภู,"10,077",0%,"14,999",671.84
2561,จันทบุรี,"9,467",0%,"13,577",697.28
2561,ชัยนาท,"7,583",0%,"11,297",671.24
2561,ขอนแก่น,"7,212",0%,"10,942",659.11
2561,เพชรบุรี,"3,545",0%,"5,682",623.90
2561,กาฬสินธุ์,"2,252",0%,"3,691",610.13
2561,อุดรธานี,"1,381",0%,"2,005",688.78
2561,ฉะเชิงเทรา,"1,334",0%,"1,775",751.55
2561,ราชบุรี,"1,213",0%,"2,041",594.32
2561,สกลนคร,"1,170",0%,"2,273",514.74
2561,ร้อยเอ็ด,"1,123",0%,"3,471",323.54
2561,หนองคาย,756,0%,"1,404",538.46
2561,สุรินทร์,585,0%,"1,330",439.85
2561,อำนาจเจริญ,565,0%,"1,870",302.14
2561,บุรีรัมย์,540,0%,"1,445",373.70
2561,มุกดาหาร,441,0%,904,487.83
2561,นครพนม,414,0%,735,563.27
2561,ประจวบคีรีขันธ์,350,0%,560,625.00
2561,ยโสธร,337,0%,651,517.67
2561,มหาสารคาม,58,0%,192,302.08
