ปี,จังหวัด,ผลผลิต(ตัน),สัดส่วน,เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)
2020,เพชรบูรณ์,"612,470",12%,"836,772",731.94
2020,นครราชสีมา,"479,715",10%,"650,671",737.26
2020,น่าน,"412,549",8%,"616,337",669.36
2020,ตาก,"398,806",8%,"598,339",666.52
2020,นครสวรรค์,"336,766",7%,"431,457",780.53
2020,ลพบุรี,"275,128",6%,"383,481",717.45
2020,เลย,"258,538",5%,"393,998",656.19
2020,เชียงใหม่,"196,979",4%,"270,084",729.32
2020,พิษณุโลก,"192,573",4%,"280,126",687.45
2020,เชียงราย,"190,664",4%,"271,580",702.05
2020,ลำปาง,"190,598",4%,"268,303",710.38
2020,แพร่,"186,853",4%,"269,301",693.84
2020,อุทัยธานี,"131,778",3%,"157,109",838.77
2020,สระบุรี,"126,666",3%,"170,087",744.71
2020,อุตรดิตถ์,"120,690",2%,"180,655",668.07
2020,พะเยา,"107,664",2%,"156,524",687.84
2020,แม่ฮ่องสอน,"106,901",2%,"143,777",743.52
2020,กำแพงเพชร,"104,711",2%,"135,134",774.87
2020,สระแก้ว,"91,753",2%,"124,271",738.33
2020,กาญจนบุรี,"62,942",1%,"88,306",712.77
2020,อุบลราชธานี,"58,107",1%,"72,067",806.29
2020,สุโขทัย,"58,049",1%,"86,079",674.37
2020,ชัยภูมิ,"56,534",1%,"84,467",669.30
2020,ลำพูน,"56,356",1%,"80,659",698.69
2020,สุพรรณบุรี,"50,170",1%,"72,496",692.04
2020,พิจิตร,"35,657",1%,"50,801",701.90
2020,ศรีสะเกษ,"23,147",0%,"25,201",918.50
2020,หนองบัวลำภู,"18,382",0%,"29,375",625.77
2020,ชัยนาท,"18,029",0%,"26,769",673.50
2020,ปราจีนบุรี,"13,639",0%,"20,922",651.90
2020,จันทบุรี,"5,784",0%,"8,940",646.98
2020,ขอนแก่น,"3,112",0%,"4,951",628.56
2020,เพชรบุรี,"1,998",0%,"3,545",563.61
2020,อุดรธานี,"1,938",0%,"2,931",661.21
2020,ฉะเชิงเทรา,"1,818",0%,"2,660",683.46
2020,ราชบุรี,972,0%,"1,777",546.99
2020,ประจวบคีรีขันธ์,740,0%,"1,138",650.26
2020,บุรีรัมย์,368,0%,615,598.37
2020,อำนาจเจริญ,242,0%,447,541.39
2020,หนองคาย,141,0%,291,484.54
2020,กาฬสินธุ์,114,0%,175,651.43
2020,สกลนคร,58,0%,133,436.09
2020,สุรินทร์,55,0%,133,413.53
2020,นครพนม,28,0%,58,482.76
2020,ยโสธร,25,0%,40,625.00
